Município,Codigo_IBGE,Gentílico,Prefeito,Área Territorial,População Estimada,Densidade Demográfica,Escolarização 6 a 14 anos,IDHM,Mortalidade Infantil,Receitas Realizadas,Despesas empenhadas,PIB per capita
BUENO BRANDÃO,3109105,bueno-brandense,SILVIO ANTONIO FELIX,356.150,10982,30.58,98,658,10.99,2500386623,2199003879,1369990
BUENÓPOLIS,3109204,buenopolense,CELIO SANTANA,1.599.881,10342,6.43,95.1,669,36.7,2529772766,2217129429,1182604
BUGRE,3109253,bugrense,MARCÉLIO TEIXEIRA DA COSTA,161.491,3984,24.66,98.4,627,17.54,1555085763,151802174,839247
BURITIS,3109303,buritisense,KENY SOARES RODRIGUES,5.225.186,25179,4.35,97.8,672,11.76,7783036554,7533376215,3265762
BURITIZEIRO,3109402,buritizeirense,PEDRO HENRIQUE SOARES BRAGA,7.218.401,28184,3.73,96.8,624,11.49,5470583522,4653360484,1552168
CABECEIRA GRANDE,3109451,cabeceirense,ELDSON AMORIM DUARTE,1.033.055,7025,6.26,98.2,648,21.28,3157347651,2534842775,4407537
CABO VERDE,3109501,cabo-verdense,CLÁUDIO ANTÔNIO PALMA,368.206,14074,37.54,94.6,674,8.2,3042345632,2763827267,1372610
CACHOEIRA DA PRATA,3109600,cachoeirense,CLECIO GONCALVES DA SILVA,61.381,3580,59.53,98.1,741,25,1526012111,1245595178,1066235
CACHOEIRA DE MINAS,3109709,cachoeirense,DIRCEU D&apos;ANGELO DE FARIA,304.243,11609,36.27,97.7,706,7.75,2733209976,2525829153,2420736
CACHOEIRA DOURADA,3109808,cachoeirense,ALEANDRO FRANCISCO DA SILVA,203.070,2720,12.47,98.3,726,-,3206445933,264092267,2722142
CAETANÓPOLIS,3109907,caetanopolitano,JOÃO PROCÓPIO DE ALMEIDA FILHO,156.039,11869,65.48,98.1,706,-,2401181279,2218881907,2208257
CAETÉ,3110004,caeteense,LUCAS COELHO FERREIRA,542.531,45364,75.11,96.9,728,16.23,8807427799,8342938142,1341784
CAIANA,3110103,caianense,MAURICIO PINHEIRO FERREIRA,106.465,5584,46.66,97,633,13.89,1727388379,1717280818,1123333
CAJURI,3110202,cajuriense,RICARDO AUGUSTO DIAS DE ANDRADE,83.038,3961,48.74,97.1,617,26.32,1558375794,1432580774,1748251
CALDAS,3110301,caldense,AILTON PEREIRA GOULART,711.414,14600,19.16,98.4,687,-,3379748434,3262700405,1640553
CAMACHO,3110400,camachense,BRUNO LAMOUNIER FURTADO,223.001,2839,14.14,98.8,690,-,1332842335,120711564,1348304
CAMANDUCAIA,3110509,camanducaiense,RODRIGO ALVES DE OLIVEIRA,528.688,21831,39.89,98.2,689,3.6,5837791068,5246595055,2587692
CAMBUÍ,3110608,cambuiense,TALES TADEU TAVARES,244.567,30068,108.31,98.6,751,-,8418168774,66650737,3958467
CAMBUQUIRA,3110707,cambuquirense,FABRICIO DOS SANTOS SIMONI,246.380,12810,51.15,98.2,699,7.41,2772878481,2496862606,1841133
CAMPANÁRIO,3110806,campanarense,LUIZ ANTONIO DE SOUSA CAMPOS,442.398,3739,08.06,98.5,616,25,1524207155,1335777389,1106515
CAMPANHA,3110905,campanhense,LÁZARO ROBERTO DA SILVA,335.587,16855,45.99,97,709,-,432534654,3541506784,1901938
CAMPESTRE,3111002,campestrense,NIVALDO DONIZETE MUNIZ,577.843,21052,35.80,97.7,698,-,4284450412,3926440824,1563491
CAMPINA VERDE,3111101,campina-verdense,HELDER PAULO CARNEIRO,3.650.749,19759,5.29,89.2,704,-,5111662883,4224014458,2602314
CAMPO AZUL,3111150,campoazulense,OSEAS ALMEIDA JÚNIOR,505.914,3830,7.28,98.1,621,-,1433979347,141158334,879661
CAMPO BELO,3111200,campo-belense,ALISSON DE ASSIS CARVALHO,528.225,54338,97.58,98.4,711,05.09,1278234759,12165927759,1908869
CAMPO DO MEIO,3111309,campo-meense,SAMUEL AZEVEDO MARINHO,275.426,11648,41.67,97.9,683,-,3013235762,2581140522,1462980
CAMPO FLORIDO,3111408,campo-floridense,RENATO SOARES DE FREITAS,1.264.245,8383,5.43,98.8,706,09.01,3816812954,3227992529,6276531
CAMPOS ALTOS,3111507,campos-altense,PAULO CEZAR DE ALMEIDA,710.645,15661,19.99,97.6,702,10.05,4504730487,3705744078,2025703
CAMPOS GERAIS,3111606,campos-geraiense,MIRO LUCIO PEREIRA,769.504,28908,35.87,97.7,682,6.78,6138990417,546798844,1650482
CANAÃ,3111705,canaãense,JOSÉ IVANIR MIRANDA DUARTE,174.900,4533,26.46,98.2,649,-,1489385765,1440964928,1312648
CANÁPOLIS,3111804,canapolense,ENIVANDER ALVES DE MORAIS,843.599,12251,13.53,99,722,18.52,3334223606,3039528287,2865144
CANA VERDE,3111903,cana-verdense,AENDER ANASTACIO DE MORAIS,212.721,5585,26.27,99.6,650,-,1536766274,1337684756,1146662
CANDEIAS,3112000,candeense,RODRIGO MORAES LAMOUNIER,720.512,14890,20.26,98.3,678,46.73,3773480967,3392434849,1658442
CANTAGALO,3112059,cantagalense,ROBERTO DE OLIVEIRA QUEIROZ COSTA,141.855,4575,29.57,95.1,631,18.18,1574835553,1448716485,944515
