Município,Codigo_IBGE,Gentílico,Prefeito,Área Territorial,População Estimada,Densidade Demográfica,Escolarização 6 a 14 anos,IDHM,Mortalidade Infantil,Receitas Realizadas,Despesas empenhadas,PIB per capita
PASSABÉM,3147501,passabenense,RONALDO AGAPITO DE SA,94.183,1619,18.75,98.1,642,90.91,1138616672,956409785,1190769
PASSA QUATRO,3147600,passa-quatrense,HENRIQUE NOGUEIRA GONÇALVES,277.221,16439,56.21,98,715,15.87,4116759476,3629415876,2284744
PASSA TEMPO,3147709,passa-tempense,EDILSON RODRIGUES,429.172,8031,19.10,98.8,687,-,2338988372,2068710259,3006378
PASSA VINTE,3147808,passa-vintense,LUCAS NASCIMENTO DE ALMEIDA,246.565,2024,8.43,99,648,-,1284031314,1082136477,1588505
PASSOS,3147907,passense,DIEGO RODRIGO DE OLIVEIRA,1.338.070,115970,79.44,96.8,756,13.83,22967738388,20776065135,2174594
PATIS,3147956,patiense,VALMIR MORAIS DE SÁ,444.196,6031,12.56,96.8,614,-,19010182,1503157516,778961
PATOS DE MINAS,3148004,patense,LUÍS EDUARDO FALCÃO FERREIRA,3.190.456,154641,43.49,98.6,765,12.96,44280691518,35193625936,3106632
PATROCÍNIO,3148103,patrocinense,DEIRÓ MOREIRA MARRA,2.874.344,92116,28.69,97.9,729,11.32,30683099538,24703503419,3193717
PATROCÍNIO DO MURIAÉ,3148202,patrocinense,PAULO AZIZ DAHER,108.246,5744,48.84,99.2,682,-,1585916312,1348234188,1603147
PAULA CÂNDIDO,3148301,paula-candense,DANIEL GOMES CALIXTO,268.321,9597,34.55,98.4,637,-,2076880424,1904541741,1012090
PAULISTAS,3148400,paulistano,EVANDRO RIBEIRO DE CARVALHO,220.564,4794,22.30,98.3,625,24.39,1972940283,1337605311,985829
PAVÃO,3148509,pavoense,JANE CARLA PEREIRA DA ROCHA,601.190,8390,14.29,97.1,627,11.49,1688438139,1499824863,836089
PEÇANHA,3148608,peçanhense,FABRICIO DAYRELL OLIVEIRA ALVARENGA,996.646,17534,17.32,97.1,627,17.39,3534001767,3040308931,1112393
PEDRA AZUL,3148707,pedra-azulense,MARCIO FERREIRA SOUTO,1.594.651,24333,14.95,98.7,627,03.07,491913098,4745664546,1228414
PEDRA BONITA,3148756,pedrabonitense,SEBASTIÃO DE OLIVEIRA,173.928,7157,38.37,97.4,573,09.01,194986272,1627277091,939005
PEDRA DO ANTA,3148806,antense,SUELI SAMPAIO NOGUEIRA,173.168,2960,20.59,97.5,624,47.62,1447884985,1276488358,1219991
PEDRA DO INDAIÁ,3148905,indaiaense,MATEUS MARCIANO DOS SANTOS,347.920,3977,11.14,97.9,708,-,1704227028,1384773419,2319232
PEDRA DOURADA,3149002,douradense,FAGNER FERREIRA VEIGA,69.990,2559,31.30,97.6,655,-,1464465437,1140788272,1230219
PEDRALVA,3149101,pedralvense,JOSIMAR SILVA DE FREITAS,217.989,11098,52.60,98.5,675,-,2361314662,2232565733,1164091
PEDRAS DE MARIA DA CRUZ,3149150,pedrense,RODRIGO ALEXANDRE FERNANDES,1.525.648,12313,6.76,98.5,614,08.06,2723635271,2171706807,722750
PEDRINÓPOLIS,3149200,pedrinopolense,RAFAEL FERREIRA SILVA,357.891,3651,9.75,96.1,729,-,2115884225,1837396751,3186501
PEDRO LEOPOLDO,3149309,pedro-leopoldense,ELOISA HELENA CARVALHO DE FREITAS PEREIRA,292.831,65149,200.51,98.3,757,5.46,15284121421,13325889342,2230314
PEDRO TEIXEIRA,3149408,pedro-teixeirense,REINALDO MANOEL DE OLIVEIRA,112.959,1804,15.80,97.8,637,62.5,120912086,1042942641,1230713
PEQUERI,3149507,pequeriense,GLAUCO BRAGA FÁVERO,90.833,3340,34.84,99.2,694,25.64,142412125,1289696997,1299997
PEQUI,3149606,pequiense,ANDRÉ LUIZ MELGAÇO TAVARES,203.991,4457,19.98,98,674,-,1672955631,1452645074,1365731
PERDIGÃO,3149705,perdiguense,GILMAR TEODORO DE SÃO JOSÉ,249.322,11994,35.74,94.8,703,5.85,3105815887,2418957336,1765400
PERDIZES,3149804,perdizense,ANTÔNIO ROBERTO BERGAMASCO,2.451.112,16469,5.88,97.5,723,4.26,6516698673,5699202879,5708447
PERDÕES,3149903,perdoense,HAMILTON RESENDE FILHO,270.657,21577,74.22,97,744,15.08,5640041158,4554882608,2298759
PERIQUITO,3149952,periquitense,JOSÉ DE OLIVEIRA FLOR,228.907,6738,30.74,95.7,651,18.52,2199618252,2087753298,1294820
PESCADOR,3150000,pescadorense,GERALDO ANASTÁCIO JARDIM,317.463,4261,13.00,98.7,656,-,1487211118,1388285574,917716
PIAU,3150109,piauense,GILMAR APARECIDO REZENDE DE CASTRO,192.196,2719,14.78,94.5,629,-,1478668198,1191759717,2822962
PIEDADE DE CARATINGA,3150158,piedade-caratinguense,ADOLFO BENTO NETO,109.345,8832,65.02,97.1,612,15.5,1922429051,1954791275,1061142
PIEDADE DE PONTE NOVA,3150208,piedadense,ANTONIO MAYRINK BORDONI,83.733,4141,48.51,98.1,639,-,1468165841,1210180302,1198544
PIEDADE DO RIO GRANDE,3150307,piedadense,JOSÉ FERNANDES NETO,322.814,4436,14.59,100,678,-,1485474742,1364109073,1444454
PIEDADE DOS GERAIS,3150406,piedadense,DANIEL MAURICIO REIS,259.638,5034,17.87,100,626,-,1532446132,1424824722,1302459
PIMENTA,3150505,pimentense,GEOVANIO GUALBERTO MACEDO,414.969,8715,19.85,97.6,686,-,2787533811,2576512072,2194887
PINGO-D'ÁGUA,3150539,pingodaguense,LUIZ PAULO COELHO,66.570,5029,66.40,97.8,619,16.95,1596558776,1392455234,829363
PINTÓPOLIS,3150570,pintopolense,LEY LOPES DOS SANTOS,1.228.736,7540,5.87,97.6,594,30.61,214400812,1704113882,803735
PIRACEMA,3150604,piracemense,WESLEY DINIZ,280.335,6386,22.85,98.7,646,-,2012005852,1818466734,2289871
PIRAJUBA,3150703,pirajubense,AIRTON ALVES,337.980,6491,13.78,95.9,723,-,2812329805,2523260279,5057666
PIRANGA,3150802,piranguense,LUIS HELVÉCIO SILVA ARAUJO,658.812,17641,26.16,96.3,600,27.03,3379236876,3268840059,917587
PIRANGUÇU,3150901,piranguçuense,RICARDO MARTINS DE ARAUJO,203.619,5504,25.62,99.6,685,-,1533961971,170850036,1193593
PIRANGUINHO,3151008,piranguinhense,HELENA MARIA DA SILVEIRA,124.803,8683,64.23,99.2,717,16.26,2097920588,1872923441,1279462
PIRAPETINGA,3151107,pirapetinguense,LUIZ HENRIQUE PEREIRA DA COSTA,190.681,10791,54.35,99.8,709,6.13,3152268677,2783801842,4180960
PIRAPORA,3151206,piraporense,ALEXANDRO COSTA CÉSAR,549.514,56845,97.12,98.3,731,21.14,17398442107,15615703251,4056630
PIRAÚBA,3151305,piraubano,ADRIANO CARVALHAES GRAVINA,144.289,10732,75.28,96.6,684,16.26,2580856709,2473349396,1467881
PITANGUI,3151404,pitanguense,MARIA LÚCIA CARDOSO,569.636,28433,44.44,95.5,725,11.87,5618159852,5023774937,1899087
PIUMHI,3151503,piuiense,PAULO CESAR VAZ,902.468,35137,35.33,99.2,737,11.44,9138335966,7848253312,2514818
PLANURA,3151602,planurense,ANTONIO LUIZ BOTELHO,317.520,12445,32.70,97.6,712,15.38,3995628608,3473752643,3801092
POÇO FUNDO,3151701,poço-fundense,ROSIEL DE LIMA,474.244,16900,33.65,97.2,691,17.05,408541736,341102158,1839685
POÇOS DE CALDAS,3151800,poços-caldense,SÉRGIO ANTÕNIO CARVALHO DE AZEVEDO,546.958,169838,278.54,97.7,779,9.45,63807005703,61768719227,4602828
POCRANE,3151909,pocranense,ERNANE JOSE DE MACEDO,691.066,8288,13.00,97.5,626,-,1769116151,1631028102,1059035
POMPÉU,3152006,pompeano,OZEAS DA SILVA CAMPOS,2.551.074,32248,11.41,96.3,689,9.32,8194794728,7245347467,2476451
PONTE NOVA,3152105,ponte-novense,WAGNER MOL GUIMARAES,470.643,60003,121.94,97.7,717,8.4,18306778364,1592730032,2773909
PONTO CHIQUE,3152131,ponto chiquense,JOSE GERALDO ALVES DE ALMEIDA,602.799,4305,6.58,98.8,606,14.71,1410963623,1350755933,908942
PONTO DOS VOLANTES,3152170,ponto volantense,LEANDRO RAMOS SANTANA,1.212.413,12235,9.36,96,595,18.75,3011231868,2559892616,705718
PORTEIRINHA,3152204,porteirinhense,JURACI FREIRE MARTINS,1.749.683,37823,21.51,98.6,651,4.38,66857731,6370446892,884227
PORTO FIRME,3152303,porto-firmense,RENATO SANTANA SARAIVA,284.777,11414,36.58,98.8,634,32.97,1982093411,1802264481,810128
POTÉ,3152402,poteense,GILDESIO SAMPAIO DE OLIVEIRA,625.111,16675,25.06,98.2,624,-,3745834068,354803777,856581
POUSO ALEGRE,3152501,pouso-alegrense,RAFAEL TADEU SIMOES,542.797,154293,240.51,98.2,774,5.73,58141378414,42832273829,5118228
POUSO ALTO,3152600,pouso-altense,VICENTE WAGNER GUIMARAES PEREIRA,263.034,5862,23.62,98.5,710,-,2032987249,1763198011,3752917
PRADOS,3152709,pradense,LESTER REZENDE DANTAS JUNIOR,264.115,9128,31.77,96.3,689,13.16,2180859001,1688491546,1845310
PRATA,3152808,pratense,MARCEL VIEIRA RODRIGUES DA CUNHA,4.847.544,28173,5.32,96.1,695,6.64,7356362065,668004123,3523594
PRATÁPOLIS,3152907,pratapolense,DENISE ALVES DE SOUZA NEVES,215.516,8530,40.86,98.4,729,28.99,2337623615,2079692862,1792031
PRATINHA,3153004,pratinhense,JOHN WERCOLLIS DE MORAIS,622.478,3658,5.25,96,721,24.39,1838717604,1544746701,2595891
PRESIDENTE BERNARDES,3153103,bernardense,OLIVIO QUINTAO VIDIGAL NETO,236.798,5315,23.38,98.4,632,31.25,1509919638,1444990138,873090
PRESIDENTE JUSCELINO,3153202,juscelinense,RICARDO DE CASTRO MACHADO,695.882,3572,5.62,96.4,614,-,1475192329,1335516188,1233182
PRESIDENTE KUBITSCHEK,3153301,kubitschekense,LAURO DE OLIVEIRA,189.235,3000,15.64,95.3,595,23.81,1461556194,1248770682,935268
PRESIDENTE OLEGÁRIO,3153400,olegariense,RHENYS DA SILVA CAMBRAIA,3.503.848,19680,5.30,98.8,701,11.56,5702221163,5104322803,2259641
ALTO JEQUITIBÁ,3153509,jequitibaense,DANIEL GUIMARÃES SATHLER,152.272,8286,54.63,98,660,8.13,1776036582,1506283209,1154588
PRUDENTE DE MORAIS,3153608,prudentino,JOCIMAR CÉSAR BRANDÃO,124.189,10931,77.08,97.7,690,7.41,2574359357,2289327454,1391592
QUARTEL GERAL,3153707,quartelense,GASPAR CARLOS FILHO,556.436,3603,5.94,96.7,683,30.3,1783415445,1928672546,1534908
QUELUZITO,3153806,queluzitano,DANILO RODRIGUES DE ALBUQUERQUE,153.560,1948,12.12,99.1,682,-,1228908696,1138068208,1492612
RAPOSOS,3153905,raposense,SERGIO SILVEIRA SOARES,72.228,16501,212.88,98.4,730,16.04,3423646161,2756346488,1129186
RAUL SOARES,3154002,raul-soarense,AMÉRICO DE ALMEIDA CÉZAR,763.364,23663,31.20,94.3,655,3.72,4981453193,43357194,1313870
RECREIO,3154101,recreiense ou recreense,JOSE MARIA ANDRE DE BARROS,234.296,10522,43.96,97.7,692,-,2379969038,2299209141,966370
REDUTO,3154150,redutense,DILCÉLIO DE OLIVEIRA HOTT,151.859,7247,43.26,95.4,629,22.22,170119877,1630025475,1269447
RESENDE COSTA,3154200,resende-costense,JOSÉ GOUVÊA FILHO,618.312,11578,17.65,97.6,685,11.24,2767259209,2387512887,1578924
RESPLENDOR,3154309,resplendorense,DIOGO SCARABELLI JUNIOR,1.081.796,17396,15.80,97.1,670,9.52,4262616044,4177782668,1280848
RESSAQUINHA,3154408,ressaquinhense,MANOEL DA SILVA RIBEIRO,183.062,4826,25.52,98.5,683,16.67,1846337282,1625751016,4214814
RIACHINHO,3154457,riachiense,NEIZON REZENDE DA SILVA,1.719.266,8132,4.66,97.4,632,23.81,2136628615,1881073876,1226100
RIACHO DOS MACHADOS,3154507,riachense,RICARDO DA SILVA PAZ,1.315.540,9471,7.11,95.3,627,15.38,2590409946,2486013629,2997204
RIBEIRÃO DAS NEVES,3154606,nevense,MOACIR MARTINS DA COSTA JUNIOR,155.105,341415,1905.07,96.5,684,11.15,44251350134,3790098872,1239214
RIBEIRÃO VERMELHO,3154705,ribeirense,WELDER MARCELO PEREIRA,49.251,4061,77.68,99.4,737,-,1407391936,1204951288,2142355
RIO ACIMA,3154804,rio-acimense,FELIPE GONÇALVES SANTOS,228.394,10524,39.55,96.7,673,16.26,5108805003,3699049106,1871975
RIO CASCA,3154903,rio-casquense,ADRIANO DE ALMEIDA ALVARENGA,384.381,13384,36.95,98.2,650,6.41,3460052575,3044239664,1422573
RIO DOCE,3155009,rio-docense,MAURO PEREIRA MARTINS,112.094,2630,21.99,98.9,664,71.43,2119291089,1876007143,1654587
RIO DO PRADO,3155108,rio-pradense,ADIMILSON ANTUNES DE ALMEIDA,479.815,5117,10.87,98.9,605,15.87,1489287537,1412178933,797068
RIO ESPERA,3155207,rio-esperense,LUCIO MARCOS DA SILVEIRA,238.602,5332,25.44,98.1,602,22.22,1491645857,1352011577,868477
RIO MANSO,3155306,rio-mansense,LUIZ LEONARDO LUCENA,231.540,5924,22.79,98.5,648,-,1590487914,133053725,1476981
RIO NOVO,3155405,rio-novense,ORMEU RABELLO FILHO,209.310,8964,41.62,95,707,10.31,1940533264,1897006949,1193885
RIO PARANAÍBA,3155504,rio-paraibano,VALDEMIR DIOGENES DA SILVA,1.352.353,12356,8.79,98.7,709,11.83,5642989555,4039771063,4198426
RIO PARDO DE MINAS,3155603,rio-pardense,ASTOR JOSÉ DE SÁ,3.117.675,31171,9.33,98.9,624,18.28,5511140347,5118768572,893183
RIO PIRACICABA,3155702,piracicabense,AUGUSTO HENRIQUE DA SILVA,373.037,14325,37.93,98.9,685,20.13,4337599571,3637105675,3914444
RIO POMBA,3155801,rio-pombense,REGINALDO FURTADO DE CARVALHO,252.418,18007,67.78,97.7,714,5.75,3845887645,3263598073,1907037
RIO PRETO,3155900,rio-pretense,INACIO DE LOYOLA MACHADO FERREIRA,348.046,5493,15.20,98.8,679,26.32,1674571432,1445413548,962522
RIO VERMELHO,3156007,rio-vermelhense,MARCUS VINICIUS DAYRELL DE OLIVEIRA,986.561,12635,13.83,93,558,7.58,2647247448,2503203595,864964
RITÁPOLIS,3156106,ritapolitano,HIGINO ZACARIAS DE SOUSA,404.805,4521,12.17,98.6,653,-,991985436,1007853174,1381513
ROCHEDO DE MINAS,3156205,rochedense,CRISTIANO CORREA COLETTA,79.402,2335,26.65,96,684,38.46,1493682418,1215114605,1148382
RODEIRO,3156304,rodeirense,JOSE CARLOS FERREIRA,72.673,8333,94.49,95.2,668,24.19,2127554447,1878046136,4950009
ROMARIA,3156403,romariense,JOÃO RODRIGUES DOS REIS,407.557,3507,8.82,100,708,25.64,1845911585,1391494052,3947691
ROSÁRIO DA LIMEIRA,3156452,limeirense,JOSÉ MARIA PINTO DA SILVA,111.156,4648,38.21,99.5,662,22.22,1961096456,156670835,1032069
RUBELITA,3156502,rubelitense,OSVAN OTAVIO DAVID MIRANDA,1.110.295,5609,7.00,96.7,582,17.24,1778818801,1687847195,902535
RUBIM,3156601,rubinense,ALENCAR SOUTO DE OLIVEIRA,965.174,10269,10.28,98.3,609,9.52,2519726622,2127655217,831929
SABARÁ,3156700,sabaraense,WANDER JOSÉ GODDARD BORGES,302.453,137877,417.87,97.3,731,10.37,27080299035,2382562737,2156112
SABINÓPOLIS,3156809,sabinopolense,CARLOS ROBERTO BARROSO MOURAO,919.811,15364,17.07,96.8,638,06.06,3775286622,317529515,1163237
SACRAMENTO,3156908,sacramentano,WESLEY DE SANTI DE MELO,3.073.268,26556,7.78,97.3,732,9.4,11657643048,9072437301,5149170
SALINAS,3157005,salinense,JOAQUIM NERES XAVIER DIAS,1.862.117,41864,20.75,97.2,679,3.9,7816989146,6949341978,1318448
SALTO DA DIVISA,3157104,saltense,OXIMANE PEIXOTO BOMFIM,938.008,7014,7.31,97.4,608,16.13,2467524486,2318470349,1469814
SANTA BÁRBARA,3157203,santa-barbarense,ALCEMIR JOSÉ MOREIRA,684.505,31873,40.75,96.9,707,7.67,9719694574,8031495881,2683395
SANTA BÁRBARA DO LESTE,3157252,santa barbarense,WILMA PEREIRA MAFRA RIBEIRO,107.402,8212,71.53,96.5,613,24.79,1865259508,1588756004,1101370
SANTA BÁRBARA DO MONTE VERDE,3157278,barbarense,FABIO NOGUEIRA MACHADO,417.925,3212,6.67,98.4,606,30.3,1393755452,1231931955,1597918
SANTA BÁRBARA DO TUGÚRIO,3157302,tuguriense,JOSE ANTONIO ALVES DONATO,194.564,4385,23.49,97.3,637,-,1564145854,1486548006,1297878
SANTA CRUZ DE MINAS,3157336,santacruzense,WAGNER DE ALMEIDA,3.565,8723,2206.17,98.7,706,21.05,1567287876,1366903368,1077282
SANTA CRUZ DE SALINAS,3157377,santacruzense,JOSÉ SARAIVA GOMES,589.607,4074,7.46,99.6,577,-,1525840169,1438651949,886203
SANTA CRUZ DO ESCALVADO,3157401,santa-cruzense,GILMAR DE PAULA LIMA,258.726,4693,19.29,97.2,625,-,2265300566,1614433788,1090902
SANTA EFIGÊNIA DE MINAS,3157500,santa-efigense,RONALDO MAGNO DE MOURA,131.965,4354,34.86,95.2,607,19.61,1457044474,1168308148,1003152
SANTA FÉ DE MINAS,3157609,santa-feense,GLEBSON JOSÉ LEITE JUNIOR,2.917.448,3806,1.36,97.2,615,-,1542591728,1355132658,999818
SANTA HELENA DE MINAS,3157658,santaelenense de minas,MARCUS AURELIUS RODRIGUES,276.433,6406,21.90,89.2,567,42.55,1569363082,1481428049,735258
SANTA JULIANA,3157708,santa-julianense,BELCHIOR ANTONIO DA SILVA,723.784,14497,15.66,92,706,24.27,5005178661,4314866172,5590226
SANTA LUZIA,3157807,luziense,CHRISTIANO AUGUSTO XAVIER FERREIRA,235.205,221705,862.38,96.7,715,11.03,40517459919,3863162584,1827210
SANTA MARGARIDA,3157906,santa-margaridense,ILBNELLE SANTANA OTONI,255.730,16393,58.70,93.2,610,8,3265449372,3112312971,1636937
SANTA MARIA DE ITABIRA,3158003,santa-mariense,REINALDO DAS DORES SANTOS,597.441,10867,17.66,98.3,648,16.26,2415144054,3398479782,1505307
SANTA MARIA DO SALTO,3158102,santa-mariense,MARCOS VINICIUS SOUZA CARVALHO,440.605,5203,11.99,97.7,613,-,1432879296,1379481302,780267
SANTA MARIA DO SUAÇUÍ,3158201,santa-mariense,ARISTÓTELES TEMPONI CATARINA,624.047,14607,23.07,96.9,640,17.34,3680711611,253562178,949960
SANTANA DA VARGEM,3158300,vargense,JOSE ELIAS FIGUEIREDO,172.444,7047,41.93,98.8,698,-,2013457239,1701480138,1923058
SANTANA DE CATAGUASES,3158409,santanense,MARCOS ANTÔNIO FERREIRA,161.486,3909,22.43,100,694,-,1496906219,139984426,1046973
SANTANA DE PIRAPAMA,3158508,pirapamenho,DALTON SOARES SILVA,1.255.832,7538,6.38,99.5,628,-,1769975416,1483742595,1094527
SANTANA DO DESERTO,3158607,santanense,WALLACE SEBASTIÃO VASCONCELOS LEITE,182.655,3985,21.13,95.9,651,-,1511116577,1376779927,991850
SANTANA DO GARAMBÉU,3158706,santanense,JOSE FRANCISCO DE MOURA,203.074,2494,11.00,99,667,55.56,1324431392,1211419695,1263548
SANTANA DO JACARÉ,3158805,santanense,RENATO TIRADO FREIRE,106.169,4847,43.39,99.6,647,18.87,1449670163,1253073445,1636202
SANTANA DO MANHUAÇU,3158904,santanense,FRANCISCO DE PAULO FREITAS,347.362,8660,24.71,96,621,44.12,1821106721,1600585144,1288862
SANTANA DO PARAÍSO,3158953,paraisense,BRUNO CAMPOS MORATO,276.067,36048,98.76,97.1,685,5.42,5799021968,5545643713,1907744
SANTANA DO RIACHO,3159001,riachense,FERNANDO RIBEIRO BURGARELLI,677.207,4334,5.94,98.2,665,20,1685037815,151223097,1482443
SANTANA DOS MONTES,3159100,santanense,AVANILSON ALVES DE OLIVEIRA,196.565,3753,19.44,96.8,647,-,1308465923,1083580112,894538
SANTA RITA DE CALDAS,3159209,santa-ritense,EMILIO TORRIANI DE CARVALHO OLIVEIRA,503.011,8900,17.95,98.4,690,-,2285657478,1979864051,1753441
SANTA RITA DE JACUTINGA,3159308,santa-ritense,ALEXSANDRO LANDIM NOGUEIRA,420.940,4843,11.86,99,682,-,1573464106,1437486447,1146538
SANTA RITA DE MINAS,3159357,santa-ritense,ADEMILSON LUCAS FERNANDES,68.153,7322,96.06,95.8,613,18.18,1630465446,1490825234,1115866
SANTA RITA DE IBITIPOCA,3159407,ibitipoquense,LEANDRO EDUARDO FONSECA PAULA,324.234,3380,11.05,99.1,630,-,1455862015,1244054818,1517370
SANTA RITA DO ITUETO,3159506,santa-ritense,ODENIR RAPOSO DE OLIVEIRA,485.081,5426,11.74,97,607,35.29,1690615052,1544709018,1693971
SANTA RITA DO SAPUCAÍ,3159605,santa-ritense,WANDER WILSON CHAVES,352.969,44226,106.96,98,721,4.24,8945188306,7663386846,3436918
SANTA ROSA DA SERRA,3159704,rosalense,JOSE HUMBERTO RIBEIRO,284.334,3364,11.34,98.8,705,32.26,1534827871,1312740637,1701785
SANTA VITÓRIA,3159803,santa-vitoriense,ISPER SALIM CURI,2.998.364,19997,06.04,97.4,710,11.67,13588723646,10879225875,6829927
SANTO ANTÔNIO DO AMPARO,3159902,amparense,CARLOS HENRIQUE AVELAR,488.885,18697,35.48,96.9,672,4.72,5211592743,4388240735,1543154
SANTO ANTÔNIO DO AVENTUREIRO,3160009,aventureirense,AMAURY DE SÁ FERREIRA,202.032,3602,17.51,98.4,671,-,1388131021,1169128227,1260759
SANTO ANTÔNIO DO GRAMA,3160108,gramense,MARCO AURELIO RAMINHO,130.213,3861,31.37,97.1,633,-,1510035583,1420689684,1528262
SANTO ANTÔNIO DO ITAMBÉ,3160207,itambeano,RONAM WESLEY SALES,305.737,3763,13.52,94.6,558,21.28,147562951,1355009258,920170
SANTO ANTÔNIO DO JACINTO,3160306,santo-antoniense,WESDRA TAVARES BANDEIRA,503.706,11570,23.39,96.4,574,15.75,2494454069,2452582788,758283
SANTO ANTÔNIO DO MONTE,3160405,santo-antoniense,LEONARDO LACERDA CAMILO,1.125.780,28603,23.07,94.5,724,9.62,7407778499,6102939951,2048923
SANTO ANTÔNIO DO RETIRO,3160454,retirense,IVO FERNANDES SILVA,796.290,7316,8.73,95.9,570,23.26,1855555152,1830035494,686391
SANTO ANTÔNIO DO RIO ABAIXO,3160504,santo-antoniense,ALEXANDRE RODRIGUES DE SOUZA,107.269,1756,16.57,99.3,669,-,118242601,1018480786,1292792
SANTO HIPÓLITO,3160603,santo-hipolitense,HELIOMAR ROCHA TEIXEIRA,430.656,3044,7.52,97.7,657,-,1428597157,1192291447,1150330
SANTOS DUMONT,3160702,sandumonense,CARLOS ALBERTO DE AZEVEDO,637.373,46357,72.62,96.6,741,10.22,8409138198,7863321482,2016348
SÃO BENTO ABADE,3160801,são-bentense,ENEIAS MACHADO DE SOUZA,80.403,5411,56.93,100,672,13.33,1567666897,1379490634,1166210
SÃO BRÁS DO SUAÇUÍ,3160900,suaçuiense,GERALDINO PACHECO DE OLIVEIRA FILHO,110.019,3770,31.93,84.2,664,-,1986080532,1843043812,1459401
SÃO DOMINGOS DAS DORES,3160959,sandominguense,JOSE ADAIR DA SILVA,60.865,5672,88.85,98.1,638,9.71,1755647281,1563655903,1288840
SÃO DOMINGOS DO PRATA,3161007,pratense,FERNANDO ROLLA,743.768,17296,23.34,98.3,690,6.58,3634523818,3275866337,1447739
SÃO FÉLIX DE MINAS,3161056,são felense,MARCOS ALEXANDRE GONÇALVES SORDINE,162.560,3354,20.80,99.1,620,62.5,1630398036,1505714438,1105635
SÃO FRANCISCO,3161106,são-franciscano,MIGUEL PAULO SOUZA FILHO,3.308.100,56625,16.27,97.4,638,10.17,10727406157,9143205465,899529
SÃO FRANCISCO DE PAULA,3161205,francisco-paulense,MERITON BALDUÍNO ALVES,316.822,6512,20.46,96.8,660,-,1934513524,1609142106,1510339
SÃO FRANCISCO DE SALES,3161304,são-francisco-salense,GILMAR APARECIDO LEONEL SOUTO,1.128.864,6309,5.12,94.8,688,-,2727215866,2327665327,2146980
SÃO FRANCISCO DO GLÓRIA,3161403,são-franciscano-do-glória,WALACE FERREIRA PEDROSA,164.613,4758,31.46,96.4,663,40.82,1977622103,1471896436,1115851
SÃO GERALDO,3161502,são-geraldense,WALMIR ROCHA LOPES,185.578,12751,55.30,96.8,651,-,2318837247,20813603,1645174
SÃO GERALDO DA PIEDADE,3161601,são-geraldense,EDNA MARCELINA PEREIRA MADUREIRA VIANA,152.336,3860,28.81,96.9,600,32.26,1565486102,1495274449,904473
SÃO GERALDO DO BAIXIO,3161650,baixiense,JULIANO PHILIPE SERAFIM SOARES,280.954,4104,12.41,97.4,630,20.83,1335329092,1244047885,986070
SÃO GONÇALO DO ABAETÉ,3161700,são-gonçalense,FABIANO MAGELLA LUCAS DE CARVALHO,2.692.545,8527,2.33,98.2,670,62.5,2698309832,2326521676,3293242
SÃO GONÇALO DO PARÁ,3161809,são-gonçalense,OSVALDO DE SOUZA MAIA,265.730,12776,39.13,98,689,6.94,2928415911,2881241954,1999267
SÃO GONÇALO DO RIO ABAIXO,3161908,são-gonçalense,RAIMUNDO NONATO DE BARCELOS,363.828,11114,26.87,98.7,667,6.25,17174636659,14076324569,33728881
SÃO GONÇALO DO SAPUCAÍ,3162005,são-gonçalense,ELOI RADIN ALLERAND,516.683,25670,46.27,98.8,715,32.35,5230243308,4870518978,2430045
SÃO GOTARDO,3162104,são-gotardense,DENISE ABADIA PEREIRA OLIVEIRA,866.087,36084,36.74,96.3,736,13.16,7632471233,7190025026,2355330
SÃO JOÃO BATISTA DO GLÓRIA,3162203,gloriense,CELSO HENRIQUE FERREIRA,547.908,7541,12.57,97.9,724,12.5,3102527197,2912909605,1988943
SÃO JOÃO DA LAGOA,3162252,lagoano,CARLOS ALBERTO MOTA DIAS,998.015,4949,4.67,98.9,634,15.87,1688602849,140183314,846092
SÃO JOÃO DA MATA,3162302,são-joanense-da-mata,ROSEMIRO DE PAIVA MUNIZ,120.536,2743,22.66,93.3,653,32.26,1281564102,1170074588,1566256
SÃO JOÃO DA PONTE,3162401,pontense,DANILO WAGNER VELOSO,1.851.102,25033,13.70,98,569,30.65,5694612445,5569803662,786166
SÃO JOÃO DAS MISSÕES,3162450,missionense,JAIR CAVALCANTE BARBOSA,678.274,13232,17.27,90.8,529,32.52,2648769599,2623014643,631455
SÃO JOÃO DEL REI,3162500,são-joanense,NIVALDO JOSE DE ANDRADE,1.452.002,90897,57.68,99.1,758,9.12,2179156285,20086201381,2395857
SÃO JOÃO DO MANHUAÇU,3162559,sanjoanense,SÉRGIO LÚCIO CAMILO,143.096,11785,71.60,96.7,650,35.09,2551103356,2287812035,1013218
SÃO JOÃO DO MANTENINHA,3162575,manteniense,GENTIL PEREIRA DE MENDONÇA,137.928,5975,37.61,96.6,640,-,1866011362,1443119902,1011618
SÃO JOÃO DO ORIENTE,3162609,são-joanense,REGILAENE NEDES ALCÂNTARA,120.122,7393,65.55,96.5,648,17.24,1833614205,1629392032,1123734
SÃO JOÃO DO PACUÍ,3162658,pacuíense,CAIO FREIRE CUNHA,415.922,4476,9.76,98.7,625,42.55,1508729717,1373271118,767564
SÃO JOÃO DO PARAÍSO,3162708,paraisense,SELMA MARIA MORAIS DOS SANTOS,1.925.575,23797,11.59,97.2,615,19.69,3692953184,3419833972,917902
